"c[trans]" "c[com]" "c[circ]" "c[rep+]" "c[rep-]" "c[pack]" "com[max]" "rep[max]" "c[3A]" "c[stay]" "scaler" "var c[trans]" " var c[com]" "var c[circ]" "var c[rep+]" "var c[rep-]" "var c[pack]" "var com[max]" "var rep[max]" "var c[3A]" "var c[stay]" "var scaler" "ly gamma shape" "lag" "ly gamma rate" "lag var"
2.862774 -5.672533 0.799499 3.941835 12.73052 -0.962806 15.13151 3.745371 7.427512 0.1233982 9.887357e-05 0.8917921 0.0687126 0.4758332 0.4848329 0.202118 0.3193444 0.4517209 0.3650844 0.2846415 0.2580423 0.2724493 34.8806 3.228763 2.533017 4.448141
3.55142 -8.232347 -9.697082 19.53921 15.89184 -8.887251 17.45785 4.391284 8.524206 0.4816246 4.647284e-05 0.5276616 0.2119792 0.5583255 0.3817587 0.6901691 0.2310647 0.2628126 0.06049048 0.3522101 0.7075807 0.04371721 38.00028 3.670276 2.283869 2.662928
3.111039 -8.461405 0.596733 12.44772 7.604405 -7.252732 15.0061 4.966933 8.350249 0.3345554 3.272735e-05 0.5140595 0.5450627 0.7776062 0.08065926 0.6683609 0.528739 0.4401584 0.2870986 0.8919678 0.1487526 0.9629604 38.38496 1.416254 2.908432 3.39739
2.899664 -4.777656 0.87347 -4.447699 18.3432 -6.046334 19.01014 6.804073 4.961939 0.9774441 8.334318e-05 0.4363343 0.1680594 0.1929652 0.4769397 0.4148587 0.07121642 0.1229783 0.3590941 0.657848 0.5546055 0.6569423 43.95579 2.381069 3.004566 7.062479
3.383705 -3.546816 -6.229532 15.35033 11.64922 -5.520312 15.71438 5.064811 8.071537 0.5819489 7.56982e-05 0.8670334 0.4519481 0.7208268 0.7645214 0.3538358 0.7789269 0.4204836 0.6796325 0.3096259 0.2631594 0.2974304 37.11779 1.641533 2.778697 4.198228
1.979744 -4.897436 -3.893764 4.98437 15.95698 -4.2663 14.22968 7.123012 6.386656 0.1564326 6.046094e-05 0.9690878 0.4778361 0.6534408 0.2104832 0.793461 0.7558201 0.2132982 0.5987797 0.6646993 0.4649668 0.4331713 28.53616 2.630331 2.141906 2.954084
2.165446 -5.199327 -6.866103 3.826866 -3.005767 -9.632212 11.06103 8.059728 6.77298 0.8958798 7.36333e-05 0.7171366 0.8712906 0.2958316 0.6946974 0.3461164 0.8447346 0.8988007 0.07568115 0.6011906 0.3674991 0.9216312 41.33032 3.661564 2.780823 2.271764
2.580815 -7.200606 -6.501413 10.09333 5.947375 -2.352141 5.084598 8.477337 7.580375 0.9644761 2.268401e-05 0.8868445 0.1310371 0.5063899 0.6813594 0.6293751 0.4687982 0.6718614 0.4683334 0.5844333 0.009572257 0.5911581 41.08254 2.369801 3.162052 2.790871
2.233199 -1.862417 -2.684103 4.902385 18.50419 -4.591356 15.87897 4.684936 6.965147 0.1046927 5.715368e-05 0.943525 0.2460205 0.1349261 0.720375 0.2643477 0.7672196 0.787449 0.1098053 0.2552242 0.6801087 0.4443701 34.4987 2.813146 2.35298 1.471896
1.684883 -5.837271 -8.153193 5.452508 17.64109 -7.161148 12.56365 6.223751 6.954288 0.6766043 9.708245e-05 0.6643245 0.7922208 0.2646343 0.3315959 0.7377709 0.4498659 0.002122613 0.4663623 0.5440229 0.1507199 0.2302395 38.71588 3.410055 2.545879 0.8503839
