"c[trans]" "c[com]" "c[circ]" "c[rep+]" "c[rep-]" "c[pack]" "com[max]" "rep[max]" "c[3A]" "c[stay]" "scaler" "var c[trans]" " var c[com]" "var c[circ]" "var c[rep+]" "var c[rep-]" "var c[pack]" "var com[max]" "var rep[max]" "var c[3A]" "var c[stay]" "var scaler" "ly gamma shape" "lag" "ly gamma rate" "lag var"
-4.011704 -2.919599 -5.917662 -8.988923 -0.2431296 -7.809031 6.136624 16.71458 9.102171 0.3388168 0.0002698142 0.7604532 0.4987658 0.2480341 0.4014212 0.4909867 0.4652988 0.412597 0.5883904 0.459801 0.8911334 0.8861875 44.72075 8.656407 2.880664 16.86762
-4.32205 -4.689778 -4.522535 -7.86724 -0.1157537 -9.397278 7.723344 8.010852 4.128109 0.02279299 0.0001452805 0.1635156 0.2964919 0.6248886 0.4722405 0.1814847 0.7505898 0.4931995 0.6760685 0.4035674 0.850308 0.9801245 38.93603 1.400034 2.727543 17.38435
-4.300331 -0.03928525 -3.588429 -9.599698 -0.08684944 -1.464397 8.325278 12.29551 2.395183 0.9213774 0.0004516666 0.8262034 0.2335051 0.3408237 0.9614574 0.3024256 0.7524747 0.7171702 0.4491929 0.5830527 0.5831917 0.9886308 42.94503 0.1631719 3.109688 11.3878
-4.365329 -5.268024 -3.414346 -9.54694 0.4063231 -8.145918 8.725434 6.749443 7.007308 0.03287867 0.0002188768 0.4327831 0.02159785 0.06519476 0.463883 0.1136123 0.4755542 0.298488 0.4099468 0.8270162 0.5327544 0.8453526 38.66851 3.673984 2.518586 16.14859
-4.146458 -4.545051 -4.544619 -9.181358 0.4712437 -5.048122 5.65214 15.46052 3.548622 0.8656724 0.0002832192 0.5095852 0.1055564 0.4698127 0.6098919 0.1408631 0.7563401 0.9642766 0.04649441 0.5442517 0.2011767 0.8645609 48.38879 7.819787 3.507758 11.44685
-4.219791 -5.466853 -3.403175 -9.329892 0.516495 -6.88851 8.470887 15.34762 8.450725 0.3281601 0.0002197446 0.1749639 0.2000312 0.3000826 0.6464503 0.1716473 0.1874075 0.3755305 0.6636079 0.1014639 0.6104987 0.3969948 38.10778 3.622484 2.593285 17.63167
-4.524086 -6.175402 -5.14449 -9.414061 1.893768 -3.293862 4.604771 4.068997 1.644068 0.4432993 0.0001048665 0.2891007 0.5630603 0.05666698 0.4404323 0.7627041 0.1495129 0.7323368 0.9243626 0.8596284 0.6706163 0.7181239 47.31553 1.761296 3.153807 11.62417
-4.31123 -2.763252 -5.594674 -9.595471 1.72624 -7.909149 6.407732 16.52302 6.451692 0.3092321 0.0001973735 0.2242584 0.5452163 0.8681834 0.6161756 0.1931735 0.6811485 0.2504382 0.3905348 0.0429867 0.540432 0.9464157 36.84486 4.821699 2.296712 14.77393
-4.131306 -4.948925 -5.504254 -9.566556 1.722197 -9.210528 9.738848 16.07431 2.176641 0.7240549 0.0003227349 0.6667571 0.1861844 0.4227568 0.7942236 0.8191735 0.6623672 0.09273789 0.3864909 0.3206459 0.3680766 0.7682076 43.24256 5.451085 2.709552 19.13747
-4.268726 -5.631128 -3.085982 -8.363485 0.6111954 -5.145244 7.407106 12.16834 1.504583 0.2850708 0.0003176776 0.1506596 0.3020364 0.1562938 0.4574471 0.7876996 0.5567231 0.7226874 0.2112502 0.5286551 0.2369448 0.9286438 42.54974 0.5805299 2.819236 11.09795
-3.904888 -5.160016 -3.617489 -9.673438 0.6258661 -4.621928 5.703296 9.6847 2.252675 0.5898058 8.302567e-06 0.3919973 0.858438 0.4199205 0.2110941 0.3346554 0.5090398 0.357944 0.3192053 0.5108033 0.5745736 0.850017 26.81011 7.263289 1.846376 16.28602
-4.232436 -3.104308 -5.3065 -9.215765 0.7488179 -8.50122 9.503481 6.031623 1.703457 0.3092237 0.000519083 0.5134202 0.3607959 0.04709646 0.3207285 0.09644462 0.9831824 0.5994011 0.04394223 0.4371671 0.6175001 0.641103 35.15442 3.160613 2.475528 19.57893
-4.564248 -3.495015 -5.274069 -9.132947 1.451983 -6.314921 5.396065 7.838771 3.012349 0.3008945 0.0001986892 0.1502156 0.8051171 0.4796834 0.5410577 0.01972847 0.7248475 0.7769336 0.9193058 0.5823088 0.8371408 0.9851585 41.64543 0.279462 2.984744 14.71379
-4.019336 -4.678352 -5.073391 -9.609331 0.5213378 -4.270864 8.473227 11.37309 5.525371 0.7941518 0.0001024469 0.8106562 0.5379536 0.2262719 0.3472786 0.3147708 0.4208439 0.3423799 0.2110284 0.2803948 0.6591081 0.5980778 33.31139 7.852434 2.215229 15.21105
-4.277156 -3.20758 -4.366646 -9.919941 1.295192 -2.588758 7.193706 11.29845 4.941404 0.8485587 0.0004846507 0.3199313 0.7089262 0.8417476 0.8826091 0.1340867 0.09341419 0.5064498 0.1488896 0.3050151 0.4864694 0.989181 43.01919 5.381374 3.091167 11.68492
-4.353023 -3.483852 -4.39652 -8.592603 0.01699473 -5.939058 8.043279 10.50155 1.473458 0.6380445 4.384461e-05 0.4641197 0.8410183 0.2013895 0.255558 0.3182412 0.8555073 0.1903144 0.9241815 0.6427254 0.01121548 0.8877563 24.19721 4.187683 1.629957 8.621058
